"Day","Hr","Temp","KWH"
2014-12-08,20,25.79,51
2014-12-08,21,24.89,50
2014-12-08,22,25.43,50
2014-12-08,23,27.635,52
2014-12-09,0,30.32,67
2014-12-09,1,32.66,69
2014-12-09,2,39.2,75
2014-12-09,3,42.08,77
2014-12-09,4,37.04,72
2014-12-09,5,37.4,72
2014-12-09,6,42.89,77
2014-12-09,7,42.98,116
2014-12-09,8,44.06,117
2014-12-09,9,44.96,117
2014-12-09,10,44.78,116
2014-12-09,11,44.96,116
2014-12-09,12,46.28,117
2014-12-09,13,46.94,117
2014-12-09,14,46.94,116
2014-12-09,15,46.58,116
2014-12-09,16,48.02,117
2014-12-09,17,48.14,116
2014-12-09,18,48.44,116
2014-12-09,19,48.92,76
2014-12-09,20,48.56,75
2014-12-09,21,48.92,75
2014-12-09,22,48.92,75
2014-12-09,23,48.92,74
2014-12-10,0,46.04,84
2014-12-10,1,44.96,82
2014-12-10,2,42.98,80
2014-12-10,3,42.08,79
2014-12-10,4,42.08,78
2014-12-10,5,42.2,78
2014-12-10,6,41,76
2014-12-10,7,41.9,116
2014-12-10,8,41,115
2014-12-10,9,41,114
2014-12-10,10,41.36,114
2014-12-10,11,42.56,115
2014-12-10,12,42.44,114
2014-12-10,13,42.56,114
2014-12-10,14,41,112
2014-12-10,15,39.92,110
2014-12-10,16,39.92,110
2014-12-10,17,39.11,109
2014-12-10,18,39.11,108
2014-12-10,19,39.02,68
2014-12-10,20,39.14,67
2014-12-10,21,37.94,65
2014-12-10,22,39.02,66
2014-12-10,23,39.02,66
2014-12-11,0,39.14,78
2014-12-11,1,39.155,78
2014-12-11,2,37.94,76
2014-12-11,3,37.94,76
2014-12-11,4,37.04,74
2014-12-11,5,35.96,73
2014-12-11,6,35.06,71
2014-12-11,7,35.33,111
2014-12-11,8,35.33,111
2014-12-11,9,34.43,109
2014-12-11,10,33.98,108
2014-12-11,11,33.89,108
2014-12-11,12,33.656,107
2014-12-11,13,33.86,107
2014-12-11,14,33.86,106
2014-12-11,15,33.98,106
